Angle_deg,Frequency_Hz,Magnitude_dB,Phase_deg
0.0,20240000000,-34.6741,-67.9433
0.0,20250000000,-34.0212,-143.7332
0.0,20260000000,-35.2123,145.1253
0.0,20270000000,-35.2197,71.9323
0.0,20280000000,-35.0712,3.1428
0.0,20290000000,-35.0445,-60.5833
0.0,20300000000,-35.4385,-151.6336
0.0,20310000000,-36.6297,141.4705
0.0,20320000000,-33.0070,57.4449
0.0,20330000000,-34.8056,-10.0943
0.0,20340000000,-34.7469,-83.5818
0.0,20350000000,-37.8719,-148.7607
0.0,20360000000,-35.5520,141.6081
0.0,20370000000,-34.7060,56.9139
0.0,20380000000,-36.0631,-16.0605
0.0,20390000000,-34.8331,-76.3278
0.0,20400000000,-37.0500,-157.5958
0.0,20410000000,-33.7453,133.0234
0.0,20420000000,-35.4371,56.9039
0.0,20430000000,-35.9907,-13.3613
0.0,20440000000,-35.1076,-90.5184
0.0,20450000000,-35.8627,-164.9362
0.0,20460000000,-36.1146,115.4098
0.0,20470000000,-35.9284,55.4705
0.0,20480000000,-36.3473,-20.8694
0.0,20490000000,-34.8733,-102.0579
0.0,20500000000,-34.6391,-177.7306
0.0,20510000000,-34.6626,117.8684
0.0,20520000000,-36.1879,43.9924
0.0,20530000000,-35.3161,-27.6141
0.0,20540000000,-35.6304,-104.0234
0.0,20550000000,-35.4426,-177.9060
0.0,20560000000,-35.3825,99.4938
0.0,20570000000,-37.0320,35.2563
0.0,20580000000,-35.7914,-32.9578
0.0,20590000000,-34.0859,-107.6477
0.0,20600000000,-34.3133,-178.6353
0.0,20610000000,-35.7088,106.1175
0.0,20620000000,-35.2172,12.9827
0.0,20630000000,-35.6492,-37.1129
0.0,20640000000,-35.6527,-119.0138
0.0,20650000000,-34.3061,175.4577
0.0,20660000000,-35.5149,100.4129
0.0,20670000000,-35.3016,26.1334
0.0,20680000000,-35.5965,-55.8225
0.0,20690000000,-35.8273,-133.7609
0.0,20700000000,-35.4861,165.1420
0.0,20710000000,-36.1990,83.7075
0.0,20720000000,-34.7559,18.3231
0.0,20730000000,-34.3908,-53.5792
0.0,20740000000,-36.2756,-131.9059
0.0,20750000000,-35.5193,151.8076
0.0,20760000000,-35.1188,76.4933
0.0,20770000000,-35.1764,13.4312
0.0,20780000000,-34.6418,-69.9403
0.0,20790000000,-35.7887,-142.0977
0.0,20800000000,-35.8682,147.7786
0.0,20810000000,-35.1179,77.0748
0.0,20820000000,-34.7750,-7.1890
0.0,20830000000,-35.1365,-69.6075
0.0,20840000000,-37.6743,-146.6905
0.0,20850000000,-34.4063,147.3093
0.0,20860000000,-37.2860,59.0603
0.0,20870000000,-34.6320,-2.1281
0.0,20880000000,-35.0015,-87.3226
0.0,20890000000,-35.1926,-148.4218
0.0,20900000000,-34.5260,120.9936
0.0,20910000000,-35.0134,64.4268
0.0,20920000000,-34.2677,-7.6036
0.0,20930000000,-36.2860,-88.8984
0.0,20940000000,-35.1851,-161.0570
0.0,20950000000,-35.5898,126.4610
0.0,20960000000,-35.8042,58.1471
0.0,20970000000,-35.1944,-18.3942
0.0,20980000000,-34.5892,-82.2229
0.0,20990000000,-34.8737,-160.9268
0.0,21000000000,-36.1520,109.1162
0.0,21010000000,-34.5981,38.2326
0.0,21020000000,-34.7558,-28.5304
