Frequency_Hz,Magnitude_dB,Phase_deg
15850000000,-7.4913,-160.1812
15860000000,-8.9746,-155.0010
15870000000,-8.7160,-134.5045
15880000000,-7.2581,-118.7325
15890000000,-5.9254,-73.6357
15900000000,-9.5067,-6.6371
15910000000,-15.6142,142.3529
15920000000,-9.9312,-83.6699
15930000000,-11.5483,-4.2599
15940000000,-13.0723,115.8790
15950000000,-9.5214,-130.1470
15960000000,-10.1038,-81.5287
15970000000,-8.1504,-60.1355
15980000000,-6.5633,-15.5062
15990000000,-9.7787,28.9192
16000000000,-18.0341,-33.8257
16010000000,-5.3931,6.9014
16020000000,-4.6434,63.5189
16030000000,-7.8891,109.1562
16040000000,-18.8492,108.9320
16050000000,-10.3645,72.8431
16060000000,-6.3751,109.9334
16070000000,-4.8545,164.6481
16080000000,-9.3719,-136.2726
16090000000,-43.8479,-149.5073
16100000000,-8.0303,155.4722
16110000000,-5.5653,-139.7899
16120000000,-7.5503,-92.1297
16130000000,-12.7304,-59.1267
16140000000,-16.0005,-64.6641
16150000000,-14.1061,-67.0687
16160000000,-8.9893,-35.8198
16170000000,-6.6565,20.3572
16180000000,-4.4259,96.8756
16190000000,-3.8975,-150.1722
16200000000,-5.5874,-55.5358
16210000000,-7.9548,36.6542
16220000000,-13.4988,172.2336
16230000000,-9.0182,-79.0301
16240000000,-4.6495,-4.9904
16250000000,-7.1555,66.1867
16260000000,-10.3367,93.7493
16270000000,-14.5000,114.8449
16280000000,-14.3040,69.8414
16290000000,-6.5150,89.7928
16300000000,-2.5640,163.4728
16310000000,-7.8938,-135.9288
16320000000,-12.9816,-122.3270
16330000000,-15.4586,-108.6557
16340000000,-23.6149,-143.4206
16350000000,-9.4751,-150.3124
16360000000,-7.7595,-67.9510
16370000000,-14.4999,-5.8029
16380000000,-15.3192,-144.9324
16390000000,-6.7695,-62.5949
16400000000,-5.4665,4.6282
16410000000,-9.7981,90.5677
16420000000,-28.8226,155.9400
16430000000,-20.8871,-26.2109
16440000000,-11.9268,21.1127
16450000000,-8.8043,94.3271
16460000000,-6.4450,-170.3099
16470000000,-6.2454,-59.9416
16480000000,-6.2393,13.9556
16490000000,-6.7317,86.8414
16500000000,-19.3147,-157.8073
16510000000,-10.7968,23.1873
16520000000,-5.1571,84.6932
16530000000,-4.9927,133.0471
16540000000,-4.6764,168.4286
16550000000,-5.1591,-121.2841
16560000000,-18.4754,103.1102
16570000000,-5.4491,-169.8177
16580000000,-2.4129,-97.7410
16590000000,-6.4130,-21.5587
16600000000,-16.4187,79.8389
16610000000,-10.2644,-123.8485
16620000000,-10.0614,-45.5267
16630000000,-12.3008,-13.5271
16640000000,-11.7540,44.0588
16650000000,-13.1697,-160.5885
16660000000,-8.9820,-54.4725
16670000000,-6.6015,17.5818
16680000000,-10.9454,105.8993
16690000000,-29.1855,-85.7144
16700000000,-14.1967,57.1625
16710000000,-23.2835,-114.5999
16720000000,-16.2856,18.8495
16730000000,-14.2711,97.9685
16740000000,-11.9331,-52.0403
16750000000,-5.7996,39.8946
16760000000,-2.2338,117.0540
16770000000,-8.7455,-154.4878
16780000000,-24.2229,21.4922
16790000000,-6.6637,103.7867
16800000000,-5.0322,-177.5405
16810000000,-5.3893,-147.2380
16820000000,-3.8542,-97.6599
16830000000,-7.9125,-24.0411
16840000000,-15.5184,138.9615
16850000000,-5.7181,-92.5320
16860000000,-5.6033,-5.1907
16870000000,-9.6132,84.1590
16880000000,-15.9283,179.4689
16890000000,-14.8096,-130.3107
16900000000,-8.8240,-50.1339
16910000000,-9.4888,24.5089
16920000000,-8.0541,122.0109
16930000000,-2.2215,-90.4923
16940000000,-2.3477,9.0759
16950000000,-1.6832,105.3548
16960000000,-8.9116,-122.0573
16970000000,-11.1998,-10.9438
16980000000,-9.7023,63.5767
16990000000,-14.4843,112.3383
17000000000,-14.0062,140.4689
17010000000,-17.9420,-86.2134
17020000000,-7.9646,54.4563
17030000000,-2.9064,137.7886
17040000000,-5.5914,-139.5061
17050000000,-17.1055,-96.3903
17060000000,-10.4109,-154.2478
17070000000,-11.7789,-91.5974
17080000000,-16.1294,-117.3396
17090000000,-4.6188,-87.1578
17100000000,-3.7344,13.2578
17110000000,-5.9566,108.8314
17120000000,-6.1822,-124.2590
17130000000,-4.6910,-9.7469
17140000000,-3.0446,109.4962
17150000000,-7.2545,-139.3085
17160000000,-13.4049,-76.5527
17170000000,-12.9514,-90.5618
17180000000,-7.3093,-25.2462
17190000000,-5.5939,61.5344
17200000000,-11.4644,-116.5717
17210000000,-7.9166,0.3080
17220000000,-2.7446,75.3613
17230000000,-5.6468,-163.0328
17240000000,-15.5118,-66.5621
17250000000,-13.1737,59.0324
17260000000,-13.3420,122.5073
17270000000,-8.2975,158.1414
17280000000,-3.9287,-120.0916
17290000000,-4.9880,2.8291
17300000000,-2.3566,122.6471
17310000000,-1.3814,-126.7127
17320000000,-4.3337,-49.9971
17330000000,-8.3160,47.3658
17340000000,-12.2774,-101.7596
17350000000,-11.3887,-19.8980
17360000000,-13.9374,17.7747
17370000000,-9.4794,40.6215
17380000000,-5.4555,111.7475
17390000000,-4.1986,-143.5882
17400000000,-6.8820,-37.7755
17410000000,-7.4227,75.3063
17420000000,-7.0487,-155.5062
17430000000,-7.0655,-63.0850
17440000000,-7.5640,16.3428
17450000000,-9.7539,56.2221
17460000000,-7.3527,104.4665
17470000000,-9.3243,-162.4912
17480000000,-12.3972,-11.6950
17490000000,-1.4440,104.1328
17500000000,-2.8662,-126.6507
17510000000,-8.0263,-62.4977
17520000000,-13.5247,36.5790
17530000000,-24.6373,-123.8781
17540000000,-24.5810,165.3750
17550000000,-9.0806,-108.7804
17560000000,-8.4743,-10.4096
17570000000,-7.6631,85.8496
17580000000,-4.4183,-127.2251
17590000000,-5.9207,-29.8900
17600000000,-6.4026,45.9558
17610000000,-14.1161,148.5193
17620000000,-33.2114,34.9883
17630000000,-29.0028,-135.4253
17640000000,-12.1785,35.2183
17650000000,-7.1852,115.7948
17660000000,-3.9626,-149.1581
17670000000,-4.5275,-48.7910
17680000000,-4.3472,54.3197
17690000000,-7.6424,-164.7703
17700000000,-9.2106,-41.0747
17710000000,-6.6693,53.0641
17720000000,-8.4082,117.0077
17730000000,-5.6420,149.4125
17740000000,-2.7177,-105.5582
17750000000,-8.7821,-20.4015
17760000000,-7.7713,91.6762
17770000000,-3.5946,-129.3225
17780000000,-5.6737,-53.3523
17790000000,-5.6083,17.4353
17800000000,-14.4368,95.4775
17810000000,-15.0432,115.4139
17820000000,-8.8319,-136.7905
17830000000,-10.2429,2.0857
17840000000,-8.3506,108.2982
17850000000,-4.8499,-121.0929
17860000000,-5.1487,-26.7953
17870000000,-2.5975,53.3071
17880000000,-5.0048,-168.4625
17890000000,-15.0344,-67.3331
17900000000,-21.9785,70.6595
17910000000,-23.9149,-42.8561
17920000000,-13.9939,87.2584
17930000000,-5.2942,-146.0650
17940000000,-5.6087,-28.9098
17950000000,-4.7585,50.2177
17960000000,-6.1070,150.7870
17970000000,-15.3351,-108.1924
17980000000,-14.0869,65.0886
17990000000,-15.1057,169.1818
18000000000,-11.5788,166.7385
